"roll","oil","treated"
"thy","dirty","foreign"
"husband","written","girl"
"blanket","pot","basket"
"everybody","compound","treated"
"settlers","accident","neighborhood"
"compare","teeth","gone"
"wing","tobacco","fighting"
"would","want","fresh"
"made","combine","yet"
"wise","write","discuss"
"origin","else","but"
"push","any","soil"
"gas","asleep","wealth"
"flies","beneath","let"
"cage","remove","nearby"
"up","steam","skin"
"win","selection","at"
"personal","which","major"
"mainly","favorite","mathematics"
"influence","dig","matter"
